"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"4666","Eif3i","-6.772010e-01"," 3.4236938725","-2.973268e+00"," 2.967096e-03"," 3.738867e-03","-3.337699e+00","Eif3i"
"4667","Ndufs5","-6.771376e-01"," 2.7934548042","-4.762935e+00"," 1.987460e-06"," 3.426186e-06"," 3.485561e+00","Ndufs5"
"4668","Ehhadh","-6.765440e-01","-0.1900581752","-6.846130e+00"," 8.960456e-12"," 5.943118e-11"," 1.490214e+01","Ehhadh"
"4669","Hnrnph1"," 6.763917e-01"," 3.0028656728"," 3.322469e+00"," 9.016530e-04"," 1.173215e-03","-2.304164e+00","Hnrnph1"
"4670","Gm20172","-6.762519e-01","-0.3336099249","-7.866660e+00"," 4.849722e-15"," 3.945956e-14"," 2.226734e+01","Gm20172"
"4671","Ret"," 6.760356e-01","-0.2237314449"," 6.989496e+00"," 3.303950e-12"," 2.263785e-11"," 1.592651e+01","Ret"
"4672","Col1a2","-6.760039e-01"," 0.0594129687","-6.524673e+00"," 7.822609e-11"," 4.784839e-10"," 1.283554e+01","Col1a2"
"4673","Gm2011","-6.759829e-01","-0.1102727446","-6.789146e+00"," 1.325023e-11"," 8.658466e-11"," 1.451560e+01","Gm2011"
"4674","Efcab2","-6.757874e-01","-0.0133704340","-5.826871e+00"," 6.172312e-09"," 3.134037e-08"," 8.581886e+00","Efcab2"
"4675","2610001J05Rik"," 6.756320e-01"," 3.4175553128"," 3.194121e+00"," 1.415350e-03"," 1.820502e-03","-2.678923e+00","2610001J05Rik"
"4676","Cyth2"," 6.755973e-01"," 2.8280274651"," 3.744684e+00"," 1.836039e-04"," 2.488513e-04","-1.013505e+00","Cyth2"
"4677","Eef2k","-6.754827e-01"," 0.2527852271","-4.952516e+00"," 7.681742e-07"," 2.059902e-06"," 4.014884e+00","Eef2k"
"4678","Crk"," 6.754736e-01"," 3.0666417882"," 3.241180e+00"," 1.201806e-03"," 1.553161e-03","-2.568538e+00","Crk"
"4679","Ldoc1l","-6.754244e-01"," 0.3994749652","-5.844559e+00"," 5.556827e-09"," 2.844945e-08"," 8.660335e+00","Ldoc1l"
"4680","Cck","-6.752370e-01","-0.2620175505","-7.106586e+00"," 1.441876e-12"," 1.012207e-11"," 1.666805e+01","Cck"
"4681","4930444A02Rik","-6.750901e-01"," 0.6765948181","-4.916332e+00"," 9.234106e-07"," 2.059902e-06"," 3.809997e+00","4930444A02Rik"
"4682","Adcy8","-6.745080e-01","-0.2933007607","-7.764780e+00"," 1.073583e-14"," 8.556895e-14"," 2.148537e+01","Adcy8"
"4683","Lrrc2","-6.744907e-01","-0.3334895282","-7.980215e+00"," 1.977423e-15"," 1.647243e-14"," 2.315430e+01","Lrrc2"
"4684","Pdhb","-6.743240e-01"," 3.7563825177","-2.879587e+00"," 4.006767e-03"," 5.009100e-03","-3.579222e+00","Pdhb"
"4685","Gpr137","-6.737609e-01"," 1.3500571988","-4.913582e+00"," 9.363694e-07"," 2.059902e-06"," 3.821771e+00","Gpr137"
"4686","Cog2","-6.736257e-01"," 0.8638981561","-4.553269e+00"," 5.466479e-06"," 8.591282e-06"," 2.145814e+00","Cog2"
"4687","Flad1","-6.735842e-01"," 0.5470313426","-5.233257e+00"," 1.766056e-07"," 7.182227e-07"," 5.321783e+00","Flad1"
"4688","Ddx27"," 6.732226e-01"," 1.0586248624"," 4.496430e+00"," 7.140453e-06"," 1.101529e-05"," 1.900791e+00","Ddx27"
"4689","Fam55c","-6.732198e-01"," 0.2059432748","-6.331153e+00"," 2.750849e-10"," 1.603898e-09"," 1.155186e+01","Fam55c"
"4690","Gm10677","-6.730946e-01","-0.2832129790","-7.677005e+00"," 2.112527e-14"," 1.657831e-13"," 2.084450e+01","Gm10677"
"4691","A330076H08Rik","-6.730901e-01","-0.1354650275","-7.504124e+00"," 7.846075e-14"," 5.948142e-13"," 1.952686e+01","A330076H08Rik"
"4692","Slc25a47","-6.727640e-01","-0.2425408737","-6.643868e+00"," 3.542850e-11"," 2.231710e-10"," 1.355108e+01","Slc25a47"
"4693","Man2a1"," 6.727066e-01","-0.0172881804"," 5.964707e+00"," 2.701095e-09"," 1.429098e-08"," 9.411089e+00","Man2a1"
"4694","Mus81","-6.725656e-01"," 0.3612693653","-4.815647e+00"," 1.531060e-06"," 2.749641e-06"," 3.279396e+00","Mus81"
"4695","Gm2061","-6.725529e-01","-0.3823895461","-8.050085e+00"," 1.131821e-15"," 9.560910e-15"," 2.369911e+01","Gm2061"
"4696","Nrsn1","-6.725510e-01"," 0.0121504680","-6.411450e+00"," 1.639573e-10"," 9.743878e-10"," 1.204130e+01","Nrsn1"
"4697","5730419I09Rik","-6.723390e-01"," 0.2925654729","-5.788244e+00"," 7.755804e-09"," 3.881712e-08"," 8.336105e+00","5730419I09Rik"
"4698","Amotl1"," 6.719992e-01"," 1.0098464877"," 3.673134e+00"," 2.432723e-04"," 3.269442e-04","-1.168020e+00","Amotl1"
"4699","2700094K13Rik"," 6.718492e-01"," 0.8827027755"," 5.094192e+00"," 3.692382e-07"," 1.381623e-06"," 4.670773e+00","2700094K13Rik"
"4700","Ninl","-6.718215e-01","-0.2676243164","-7.283284e+00"," 4.026445e-13"," 2.920201e-12"," 1.792492e+01","Ninl"
"4701","Strada","-6.716273e-01"," 0.3910787445","-5.127354e+00"," 3.102051e-07"," 1.185813e-06"," 4.817391e+00","Strada"
"4702","Adamts10"," 6.716149e-01","-0.0139707097"," 6.168027e+00"," 7.724943e-10"," 4.300435e-09"," 1.063932e+01","Adamts10"
"4703","Tppp","-6.713751e-01"," 3.8130023460","-7.095709e+00"," 1.558165e-12"," 1.092861e-11"," 1.662945e+01","Tppp"
"4704","Pgm3","-6.711350e-01"," 0.3714157851","-5.067288e+00"," 4.249693e-07"," 1.558177e-06"," 4.466062e+00","Pgm3"
"4705","Stoml1","-6.709914e-01"," 0.9686616086","-3.942448e+00"," 8.227354e-05"," 1.142536e-04","-3.809762e-01","Stoml1"
"4706","Napa"," 6.708427e-01"," 5.2725072423"," 3.052392e+00"," 2.287755e-03"," 2.902489e-03","-3.087746e+00","Napa"
"4707","Fam55b"," 6.707484e-01","-0.2146920654"," 6.899511e+00"," 6.194083e-12"," 4.160102e-11"," 1.531695e+01","Fam55b"
"4708","Inpp5d"," 6.707464e-01","-0.1189229178"," 6.495285e+00"," 9.490107e-11"," 5.773148e-10"," 1.266262e+01","Inpp5d"
"4709","Sv2a","-6.706491e-01"," 2.5818310872","-6.921468e+00"," 5.317163e-12"," 3.586560e-11"," 1.539900e+01","Sv2a"
"4710","1110038F14Rik"," 6.705306e-01"," 1.0919694468"," 4.414240e+00"," 1.045071e-05"," 1.581067e-05"," 1.584720e+00","1110038F14Rik"
"4711","Letm1","-6.704619e-01"," 2.4834777070","-3.198957e+00"," 1.391893e-03"," 1.791314e-03","-2.780736e+00","Letm1"
"4712","Btg3"," 6.703591e-01","-0.0165856745"," 6.811366e+00"," 1.137979e-11"," 7.484219e-11"," 1.476420e+01","Btg3"
"4713","Vmp1","-6.702768e-01"," 5.3638866409","-3.623972e+00"," 2.943472e-04"," 3.939592e-04","-1.282821e+00","Vmp1"
"4714","Fam116b","-6.702503e-01"," 0.1706024979","-5.684862e+00"," 1.419265e-08"," 6.871415e-08"," 7.710771e+00","Fam116b"
"4715","Gdf11","-6.701579e-01","-0.3407701589","-7.935247e+00"," 2.824971e-15"," 2.333364e-14"," 2.279664e+01","Gdf11"
"4716","Larp6","-6.694083e-01"," 2.4558904322","-6.087973e+00"," 1.270486e-09"," 6.934848e-09"," 1.004520e+01","Larp6"
"4717","Pura","-6.694038e-01"," 3.1517537690","-3.898580e+00"," 9.862031e-05"," 1.360915e-04","-2.616447e-01","Pura"
"4718","1500011B03Rik","-6.693838e-01"," 1.9770381621","-4.839180e+00"," 1.361563e-06"," 2.507901e-06"," 3.451872e+00","1500011B03Rik"
"4719","Casp12"," 6.692651e-01","-0.1210392109"," 6.467756e+00"," 1.136481e-10"," 6.858400e-10"," 1.248279e+01","Casp12"
"4720","Glg1","-6.691806e-01"," 2.9697924762","-3.503150e+00"," 4.656978e-04"," 6.160145e-04","-1.769950e+00","Glg1"
"4721","Lrrc48","-6.689693e-01","-0.3079674277","-7.486473e+00"," 8.956751e-14"," 6.776996e-13"," 1.941277e+01","Lrrc48"
"4722","Mgst3"," 6.688282e-01"," 1.7833969842"," 4.252604e+00"," 2.169699e-05"," 3.168353e-05"," 9.199256e-01","Mgst3"
"4723","Bbip1","-6.687070e-01"," 2.3294272358","-3.646738e+00"," 2.695589e-04"," 3.615048e-04","-1.259653e+00","Bbip1"
"4724","Stx5a"," 6.686939e-01"," 1.9496061422"," 3.522484e+00"," 4.331298e-04"," 5.741334e-04","-1.772193e+00","Stx5a"
"4725","Tmem88b","-6.682755e-01"," 3.7132969935","-7.402362e+00"," 1.676505e-13"," 1.245578e-12"," 1.883265e+01","Tmem88b"
"4726","Zfp358"," 6.681146e-01"," 1.2819021742"," 4.113786e+00"," 3.984180e-05"," 5.679256e-05"," 3.168155e-01","Zfp358"
"4727","Snrpd3"," 6.677372e-01"," 3.4708413534"," 3.692957e+00"," 2.251345e-04"," 3.032812e-04","-1.038511e+00","Snrpd3"
"4728","Nek8","-6.676348e-01","-0.2879520282","-7.155328e+00"," 1.017130e-12"," 7.209443e-12"," 1.704233e+01","Nek8"
"4729","Taf12"," 6.669411e-01"," 1.3401106085"," 4.057586e+00"," 5.069380e-05"," 7.156502e-05"," 1.031424e-01","Taf12"
"4730","Anks1b","-6.668736e-01"," 3.2754457395","-6.848897e+00"," 8.791207e-12"," 5.839126e-11"," 1.490725e+01","Anks1b"
"4731","Arhgap24","-6.667558e-01","-0.0876726067","-6.732481e+00"," 1.949176e-11"," 1.254120e-10"," 1.412631e+01","Arhgap24"
"4732","Kdm4b","-6.665150e-01"," 0.7613632215","-5.115412e+00"," 3.303285e-07"," 1.254349e-06"," 4.747650e+00","Kdm4b"
"4733","Caskin2"," 6.664454e-01"," 1.6837438266"," 3.853702e+00"," 1.184877e-04"," 1.625789e-04","-5.106108e-01","Caskin2"
"4734","Dixdc1"," 6.663888e-01"," 3.0186827254"," 5.312230e+00"," 1.152321e-07"," 4.872308e-07"," 5.831196e+00","Dixdc1"
"4735","AU040320","-6.662572e-01"," 1.2404625907","-4.604549e+00"," 4.284528e-06"," 6.844787e-06"," 2.400238e+00","AU040320"
"4736","Zc3hav1"," 6.662293e-01","-0.0062010015"," 5.789375e+00"," 7.704288e-09"," 3.858401e-08"," 8.375153e+00","Zc3hav1"
"4737","Lclat1","-6.659849e-01"," 0.0484756699","-5.945156e+00"," 3.040354e-09"," 1.598488e-08"," 9.245343e+00","Lclat1"
"4738","Dip2a","-6.658292e-01"," 3.0307113651","-5.115299e+00"," 3.305254e-07"," 1.254893e-06"," 4.865840e+00","Dip2a"
"4739","Kcna6","-6.657775e-01"," 1.7001790346","-6.799583e+00"," 1.233687e-11"," 8.095487e-11"," 1.457302e+01","Kcna6"
"4740","Zbtb7b","-6.657337e-01","-0.0752334218","-7.167160e+00"," 9.342057e-13"," 6.637732e-12"," 1.711706e+01","Zbtb7b"
"4741","Maged1","-6.654699e-01"," 4.0741280601","-2.996708e+00"," 2.748782e-03"," 3.470672e-03","-3.292215e+00","Maged1"
"4742","Mfap1b"," 6.654654e-01"," 2.2915396387"," 4.279211e+00"," 1.927129e-05"," 2.825757e-05"," 1.142604e+00","Mfap1b"
"4743","Serpinf1","-6.652360e-01","-0.2261493585","-6.755474e+00"," 1.667213e-11"," 1.078923e-10"," 1.430178e+01","Serpinf1"
"4744","Kctd15","-6.650730e-01","-0.2214808306","-7.172719e+00"," 8.975687e-13"," 6.385163e-12"," 1.714204e+01","Kctd15"
"4745","Gjc2","-6.648773e-01"," 3.1586070401","-6.949851e+00"," 4.362076e-12"," 2.956799e-11"," 1.558777e+01","Gjc2"
"4746","Camkk1","-6.647694e-01","-0.1740266531","-7.063959e+00"," 1.952864e-12"," 1.357907e-11"," 1.637853e+01","Camkk1"
"4747","Slc43a2","-6.644148e-01"," 2.2334876358","-4.213151e+00"," 2.583526e-05"," 3.744882e-05"," 7.270092e-01","Slc43a2"
"4748","Sept7","-6.643711e-01"," 8.6669308929","-3.850717e+00"," 1.199347e-04"," 1.644583e-04","-1.731704e-01","Sept7"
"4749","Zfp606","-6.643302e-01"," 0.2637012201","-5.063177e+00"," 4.341710e-07"," 1.589180e-06"," 4.485309e+00","Zfp606"
"4750","Ube2r2"," 6.638838e-01"," 2.8991800999"," 3.222030e+00"," 1.284831e-03"," 1.657808e-03","-2.599661e+00","Ube2r2"
"4751","S100a4","-6.636107e-01","-0.2464963689","-7.087557e+00"," 1.651325e-12"," 1.155779e-11"," 1.655672e+01","S100a4"
"4752","Sfpq"," 6.635765e-01"," 3.2101471624"," 3.826328e+00"," 1.324000e-04"," 1.811167e-04","-5.163224e-01","Sfpq"
