"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"8718","2210012G02Rik"," 5.219357e-01"," 0.5107800237"," 3.069817e+00"," 2.158754e-03"," 4.650977e-03"," -3.292042693","2210012G02Rik"
"8719","Arsa","-5.219166e-01"," 1.5518716968","-2.597656e+00"," 9.426618e-03"," 1.273678e-02"," -4.470169230","Arsa"
"8720","Tmcc3","-5.218918e-01"," 4.1219949436","-3.275319e+00"," 1.065977e-03"," 2.750995e-03"," -2.557726790","Tmcc3"
"8721","Ccdc102a","-5.217230e-01","-0.1141752726","-4.144410e+00"," 3.489704e-05"," 1.087568e-04","  0.445969731","Ccdc102a"
"8722","Lbh","-5.216520e-01"," 0.9939793305","-3.362967e+00"," 7.796011e-04"," 2.064925e-03"," -2.313228931","Lbh"
"8723","Troap"," 5.215989e-01","-0.3749704803"," 4.666919e+00"," 3.175137e-06"," 1.101287e-05","  2.797699853","Troap"
"8724","Ppcdc"," 5.213038e-01"," 0.2746561168"," 2.860719e+00"," 4.252526e-03"," 6.237056e-03"," -3.855834715","Ppcdc"
"8725","Ormdl1"," 5.211143e-01"," 0.5951627420"," 2.785895e+00"," 5.367517e-03"," 7.668863e-03"," -4.093496700","Ormdl1"
"8726","Tmem212","-5.208537e-01","-0.3986319587","-5.005001e+00"," 5.868914e-07"," 2.192702e-06","  4.354130904","Tmem212"
"8727","Rbpms2","-5.205754e-01"," 0.0432891272","-4.585437e+00"," 4.693121e-06"," 1.598458e-05","  2.388181326","Rbpms2"
"8728","Sned1","-5.203279e-01","-0.2096270671","-4.110161e+00"," 4.046933e-05"," 1.252235e-04","  0.304955292","Sned1"
"8729","Rgl3","-5.201760e-01","-0.2053011602","-4.135317e+00"," 3.630077e-05"," 1.129412e-04","  0.422799388","Rgl3"
"8730","Gtf2h3"," 5.200179e-01"," 0.4324790739"," 2.898510e+00"," 3.773322e-03"," 5.631733e-03"," -3.751840863","Gtf2h3"
"8731","Erbb2","-5.200002e-01","-0.2229654493","-4.067081e+00"," 4.868218e-05"," 1.493936e-04","  0.149147079","Erbb2"
"8732","Syf2"," 5.198612e-01"," 4.1507643648"," 2.244829e+00"," 2.484293e-02"," 3.111954e-02"," -5.058882376","Syf2"
"8733","Pcdh7"," 5.197557e-01"," 0.7576589437"," 2.184887e+00"," 2.896499e-02"," 3.590819e-02"," -5.219298841","Pcdh7"
"8734","Sh3rf1"," 5.197253e-01"," 0.6191488136"," 3.074670e+00"," 2.124035e-03"," 4.650977e-03"," -3.205191002","Sh3rf1"
"8735","Pou6f1"," 5.192052e-01","-0.0369875026"," 3.359554e+00"," 7.892623e-04"," 2.088390e-03"," -2.332517666","Pou6f1"
"8736","Dusp11"," 5.191428e-01"," 2.3016227015"," 2.507747e+00"," 1.219648e-02"," 1.609688e-02"," -4.573963654","Dusp11"
"8737","Mtmr14"," 5.190720e-01"," 0.5582779020"," 2.826989e+00"," 4.726180e-03"," 6.850709e-03"," -3.977215450","Mtmr14"
"8738","Cisd3"," 5.189390e-01"," 0.6716418020"," 2.490589e+00"," 1.280039e-02"," 1.683607e-02"," -4.675321836","Cisd3"
"8739","Neil3"," 5.189031e-01","-0.3734552981"," 4.672882e+00"," 3.084864e-06"," 1.071404e-05","  2.817968745","Neil3"
