"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"3213","Zfp41","-0.7979906316","-0.0613846748","-2.901559e+00","3.736891e-03","7.444238e-03","-2.889672e+00","Zfp41"
"3214","Zfp273","-0.7979776000","-0.2432751769","-3.271089e+00","1.082001e-03","4.886239e-03","-1.777336e+00","Zfp273"
"3215","Kctd7","-0.7976205446"," 0.4101793384","-2.622751e+00","8.761105e-03","1.541399e-02","-3.632401e+00","Kctd7"
"3216","Gas2l1","-0.7975724003"," 1.0504408896","-2.059782e+00","3.949509e-02","6.129865e-02","-4.767546e+00","Gas2l1"
"3217","Zfp869","-0.7974845475"," 0.6990326233","-2.314457e+00","2.070181e-02","3.371363e-02","-4.341430e+00","Zfp869"
"3218","Tctex1d4","-0.7973935826","-0.4003342445","-3.815465e+00","1.383364e-04","3.609840e-03"," 1.322358e-01","Tctex1d4"
"3219","Poc1b","-0.7973731395"," 0.2300111716","-2.684120e+00","7.307242e-03","1.314328e-02","-3.457896e+00","Poc1b"
"3220","Vps37d","-0.7973674042","-0.1019613628","-3.257782e+00","1.133872e-03","4.886239e-03","-1.791128e+00","Vps37d"
"3221","Vprbp","-0.7973564751"," 0.6174470761","-2.476510e+00","1.331554e-02","2.251249e-02","-3.924494e+00","Vprbp"
"3222","Hilpda","-0.7973499503"," 0.1930753209","-2.622779e+00","8.760383e-03","1.541388e-02","-3.657830e+00","Hilpda"
"3223","Aspg","-0.7973227885","-0.4182883781","-3.817924e+00","1.369709e-04","3.594221e-03"," 1.402836e-01","Aspg"
"3224","Skp2","-0.7973009721","-0.2227061969","-3.197876e+00","1.397106e-03","4.886239e-03","-1.999687e+00","Skp2"
"3225","Ccdc55"," 0.7972217081"," 1.1679648570"," 1.577867e+00","1.146890e-01","1.607841e-01","-5.349739e+00","Ccdc55"
"3226","Apoc3","-0.7971833430","-0.3872431433","-3.793074e+00","1.513733e-04","3.838886e-03"," 4.732541e-02","Apoc3"
"3227","1500015A07Rik","-0.7971552250","-0.1789742753","-3.143898e+00","1.681461e-03","4.886239e-03","-2.181423e+00","1500015A07Rik"
"3228","Ypel1","-0.7970177109","-0.1099742779","-3.066187e+00","2.185067e-03","5.034183e-03","-2.420581e+00","Ypel1"
"3229","Cyb561d2"," 0.7969018104"," 0.8153152274"," 1.516519e+00","1.294810e-01","1.792757e-01","-5.476257e+00","Cyb561d2"
"3230","Tada2a","-0.7968749502"," 0.5750711955","-2.329204e+00","1.990637e-02","3.253355e-02","-4.301576e+00","Tada2a"
"3231","Itga4","-0.7968645855","-0.0410776533","-2.935162e+00","3.356004e-03","6.822942e-03","-2.810420e+00","Itga4"
"3232","Rpl6"," 0.7967668227"," 5.2590607034"," 1.641743e+00","1.007354e-01","1.431715e-01","-5.002037e+00","Rpl6"
"3233","BC068157","-0.7967249411","-0.0616918535","-3.452399e+00","5.623835e-04","4.886239e-03","-1.174048e+00","BC068157"
"3234","Atf1","-0.7965683989"," 0.3673886012","-2.354712e+00","1.859346e-02","3.057547e-02","-4.230799e+00","Atf1"
"3235","Mvp","-0.7965501661"," 1.0928330972","-2.528498e+00","1.149992e-02","1.970153e-02","-3.895347e+00","Mvp"
"3236","Aplp1","-0.7965220844"," 7.9304021091","-1.253788e+00","2.100052e-01","2.753498e-01","-5.442664e+00","Aplp1"
"3237","Wasf1"," 0.7963584522"," 1.4210950932"," 1.924910e+00","5.432374e-02","8.191558e-02","-4.829533e+00","Wasf1"
"3238","Snhg5","-0.7962518223"," 0.6901659035","-2.540605e+00","1.111004e-02","1.910063e-02","-3.846205e+00","Snhg5"
"3239","Gm11517","-0.7961297575","-0.3735222793","-3.753458e+00","1.773180e-04","4.310261e-03","-1.002592e-01","Gm11517"
"3240","Igf2bp3","-0.7960578577","-0.1065868597","-2.817518e+00","4.867498e-03","9.258123e-03","-3.111489e+00","Igf2bp3"
"3241","Zfp259","-0.7960512566"," 1.1667003019","-1.968472e+00","4.909457e-02","7.467856e-02","-4.993616e+00","Zfp259"
"3242","Tmem55a"," 0.7959797773"," 1.2023607221"," 1.174120e+00","2.404288e-01","3.098992e-01","-5.658330e+00","Tmem55a"
"3243","Nap1l4"," 0.7957935515"," 4.5132820384"," 1.223931e+00","2.210628e-01","2.879949e-01","-5.578217e+00","Nap1l4"
"3244","Nog","-0.7957540309","-0.3609888670","-3.804086e+00","1.448236e-04","3.711772e-03"," 8.904334e-02","Nog"
"3245","Armc5","-0.7957469386"," 0.4342131291","-2.235108e+00","2.547475e-02","4.080299e-02","-4.469057e+00","Armc5"
"3246","2310042D19Rik","-0.7956520441","-0.2839815250","-3.472096e+00","5.228292e-04","4.886239e-03","-1.106376e+00","2310042D19Rik"
"3247","Zbtb48","-0.7955562567","-0.1880372987","-3.094820e+00","1.985290e-03","4.886239e-03","-2.333409e+00","Zbtb48"
"3248","Lmo3","-0.7954816369","-0.0974353376","-3.262994e+00","1.113287e-03","4.886239e-03","-1.802997e+00","Lmo3"
"3249","Ube2l3"," 0.7954014280"," 4.5411307690"," 1.335489e+00","1.818056e-01","2.422938e-01","-5.422025e+00","Ube2l3"
"3250","Axin2","-0.7952103001"," 0.2414947047","-2.635007e+00","8.451615e-03","1.493002e-02","-3.472339e+00","Axin2"
"3251","Pdlim1","-0.7951386917"," 1.2027481994","-2.643243e+00","8.249175e-03","1.460875e-02","-3.604732e+00","Pdlim1"
"3252","Ephb6","-0.7950115951"," 0.2880186228","-2.535814e+00","1.126289e-02","1.933788e-02","-3.813384e+00","Ephb6"
"3253","Fam167a","-0.7948500365","-0.3537566240","-3.662582e+00","2.534783e-04","4.886239e-03","-4.268701e-01","Fam167a"
"3254","Fam161a","-0.7947494220","-0.2021006801","-3.111287e+00","1.878139e-03","4.886239e-03","-2.258503e+00","Fam161a"
"3255","4930428E07Rik","-0.7947030164","-0.3957297011","-3.766642e+00","1.682520e-04","4.158912e-03","-5.210268e-02","4930428E07Rik"
"3256","Usp22"," 0.7946999160"," 4.1168378152"," 1.291584e+00","1.965887e-01","2.597616e-01","-5.541736e+00","Usp22"
"3257","Rsad1","-0.7946974106","-0.1892786383","-3.129438e+00","1.766203e-03","4.886239e-03","-2.202771e+00","Rsad1"
"3258","Mvk","-0.7946340819"," 0.7315183347","-1.659716e+00","9.706346e-02","1.385109e-01","-5.359082e+00","Mvk"
"3259","Myl4","-0.7945178240","-0.1662272327","-3.311461e+00","9.377671e-04","4.886239e-03","-1.645940e+00","Myl4"
"3260","Cdca7","-0.7944845175","-0.2066418607","-3.395819e+00","6.920600e-04","4.886239e-03","-1.365539e+00","Cdca7"
"3261","Pnmal1","-0.7944476815"," 0.4024793687","-2.595788e+00","9.477911e-03","1.654099e-02","-3.711906e+00","Pnmal1"
"3262","Coro7","-0.7944461303"," 1.1731494438","-2.357739e+00","1.844276e-02","3.035536e-02","-4.258672e+00","Coro7"
"3263","Bcl9l","-0.7944325238"," 0.2909093155","-2.983206e+00","2.872673e-03","6.051374e-03","-2.612702e+00","Bcl9l"
"3264","Rassf10","-0.7943907347","-0.3463074304","-3.516056e+00","4.437146e-04","4.886239e-03","-9.542102e-01","Rassf10"
"3265","Mier2","-0.7943491278"," 0.1613193478","-2.551284e+00","1.077598e-02","1.857400e-02","-3.837170e+00","Mier2"
"3266","Gfap","-0.7943328997"," 0.2686897024","-1.387010e+00","1.655294e-01","2.228712e-01","-5.489399e+00","Gfap"
"3267","Nradd","-0.7941664121","-0.2278378381","-3.043838e+00","2.353625e-03","5.256123e-03","-2.458127e+00","Nradd"
"3268","Hp","-0.7940424709","-0.3468336070","-3.660651e+00","2.553886e-04","4.886239e-03","-4.410758e-01","Hp"
"3269","Zfp523","-0.7938958260"," 0.5961643711","-2.256845e+00","2.408081e-02","3.873725e-02","-4.455095e+00","Zfp523"
"3270","Gm1574","-0.7938856576","-0.4137263770","-3.815651e+00","1.382329e-04","3.609840e-03"," 1.322982e-01","Gm1574"
"3271","9530026P05Rik","-0.7937843118","-0.1450499500","-3.365221e+00","7.732812e-04","4.886239e-03","-1.468210e+00","9530026P05Rik"
"3272","Zfp422","-0.7936797240"," 1.1105414736","-1.954247e+00","5.075358e-02","7.694367e-02","-4.976570e+00","Zfp422"
"3273","4930471I20Rik","-0.7935961953","-0.4099952341","-3.839477e+00","1.255352e-04","3.373471e-03"," 2.222546e-01","4930471I20Rik"
"3274","Trappc2l","-0.7935877193"," 2.3621305169","-1.738072e+00","8.228843e-02","1.194964e-01","-5.212965e+00","Trappc2l"
"3275","Ddx20","-0.7935550055"," 0.0799406712","-2.703250e+00","6.900546e-03","1.249328e-02","-3.447878e+00","Ddx20"
"3276","ERCC-00042","-0.7934746639"," 3.2705785117","-1.053793e+00","2.920523e-01","3.667361e-01","-5.805501e+00","ERCC-00042"
"3277","Utp18"," 0.7933505287"," 0.8582191943"," 1.741904e+00","8.161533e-02","1.186189e-01","-5.209191e+00","Utp18"
"3278","Setd1a","-0.7932865686"," 0.0879629609","-2.884334e+00","3.947009e-03","7.775557e-03","-2.919146e+00","Setd1a"
