"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"7059","Trim47","-4.178524e-01"," 1.1013394094"," -4.687812345"," 2.869527e-06"," 4.707149e-06"," 2.461308e+00","Trim47"
"7060","Gng10","-4.178095e-01"," 1.5526903479"," -2.411957286"," 1.591963e-02"," 1.886732e-02","-5.115049e+00","Gng10"
"7061","Tbl3"," 4.177983e-01"," 1.1784079595","  2.811030013"," 4.966510e-03"," 6.085877e-03","-4.313902e+00","Tbl3"
"7062","Tbc1d1","-4.177443e-01"," 0.2243857986"," -4.642927742"," 3.564604e-06"," 5.732182e-06"," 2.244487e+00","Tbc1d1"
"7063","Gba2","-4.177421e-01"," 0.2252455591"," -3.867423116"," 1.120443e-04"," 1.525055e-04","-9.445605e-01","Gba2"
"7064","Aoc2","-4.177262e-01","-0.3718165170"," -5.718767564"," 1.165406e-08"," 5.542616e-08"," 7.761050e+00","Aoc2"
"7065","Gabra5","-4.176715e-01","-0.3353181703"," -5.530474684"," 3.434044e-08"," 1.541866e-07"," 6.713675e+00","Gabra5"
"7066","Mfsd9","-4.175592e-01","-0.2944688680"," -4.870185261"," 1.165623e-06"," 2.248254e-06"," 3.326205e+00","Mfsd9"
"7067","Igsf10","-4.175549e-01","-0.3270267481"," -5.542002781"," 3.217288e-08"," 1.450938e-07"," 6.779611e+00","Igsf10"
"7068","Epha7","-4.175092e-01","-0.1854251428"," -5.192005097"," 2.202149e-07"," 8.567650e-07"," 4.924331e+00","Epha7"
"7069","Smad6","-4.175015e-01","-0.0308113814"," -5.162158630"," 2.580802e-07"," 9.846294e-07"," 4.763931e+00","Smad6"
"7070","Adamts18","-4.173946e-01","-0.4087544986"," -5.963061721"," 2.728166e-09"," 1.388857e-08"," 9.179590e+00","Adamts18"
"7071","Oasl2","-4.173711e-01"," 0.2817517886"," -5.020907132"," 5.406386e-07"," 1.866900e-06"," 4.049694e+00","Oasl2"
"7072","Smtn"," 4.172193e-01"," 1.1546719855","  4.130287944"," 3.710008e-05"," 5.248212e-05"," 5.885088e-02","Smtn"
"7073","Zfp808","-4.171945e-01","-0.2598576570"," -5.401164519"," 7.074320e-08"," 3.031351e-07"," 6.031478e+00","Zfp808"
"7074","Acsl5","-4.171515e-01"," 0.3312953540"," -4.392410226"," 1.155093e-05"," 1.723922e-05"," 1.126355e+00","Acsl5"
"7075","Gm14827","-4.171321e-01","-0.3922365462"," -5.919434517"," 3.550454e-09"," 1.783447e-08"," 8.920142e+00","Gm14827"
"7076","Ubap2l"," 4.170746e-01"," 2.3256368000","  2.630711976"," 8.558948e-03"," 1.031697e-02","-4.589138e+00","Ubap2l"
"7077","C030006K11Rik","-4.170572e-01"," 0.1410849100"," -4.190063057"," 2.859465e-05"," 4.092960e-05"," 3.486223e-01","C030006K11Rik"
"7078","Mtap1s"," 4.170402e-01"," 0.9919695748","  3.167594377"," 1.550635e-03"," 1.959450e-03","-3.278588e+00","Mtap1s"
"7079","Shprh"," 4.170232e-01"," 0.8710022934","  3.343454599"," 8.363521e-04"," 1.073876e-03","-2.736630e+00","Shprh"
"7080","4930565N06Rik","-4.169823e-01","-0.3948150982"," -5.899847191"," 3.993907e-09"," 1.992956e-08"," 8.814623e+00","4930565N06Rik"
"7081","Hectd1"," 4.169794e-01"," 2.5363370189","  2.408528012"," 1.606971e-02"," 1.903942e-02","-5.119991e+00","Hectd1"
"7082","Slc2a13","-4.169328e-01","-0.1348212897"," -5.294299484"," 1.270278e-07"," 5.197561e-07"," 5.449121e+00","Slc2a13"
"7083","Alg9"," 4.168065e-01"," 0.8542746589","  3.068293519"," 2.169763e-03"," 2.718352e-03","-3.581124e+00","Alg9"
"7084","Dcdc2b"," 4.168020e-01"," 0.9051284629","  3.967815855"," 7.402683e-05"," 1.022259e-04","-4.648004e-01","Dcdc2b"
"7085","Prr13"," 4.167222e-01"," 2.3492788272","  2.566074562"," 1.032801e-02"," 1.238759e-02","-4.745136e+00","Prr13"
"7086","Gadl1","-4.166487e-01","-0.4199927193"," -6.056097305"," 1.546234e-09"," 8.067889e-09"," 9.732697e+00","Gadl1"
"7087","Car9","-4.165956e-01","-0.3959720252"," -5.855032509"," 5.220978e-09"," 2.577817e-08"," 8.551032e+00","Car9"
"7088","Ptger4","-4.165916e-01","-0.3722084893"," -5.641815434"," 1.819881e-08"," 8.483246e-08"," 7.337505e+00","Ptger4"
"7089","3110007F17Rik"," 4.164745e-01"," 0.1073037197","  4.532045940"," 6.042027e-06"," 9.349104e-06"," 1.784550e+00","3110007F17Rik"
"7090","Nufip2"," 4.164526e-01"," 3.1711216494","  2.352012038"," 1.872873e-02"," 2.209932e-02","-5.138488e+00","Nufip2"
"7091","Iqcc","-4.164215e-01"," 0.2305912978"," -3.572695570"," 3.582123e-04"," 4.710167e-04","-1.976113e+00","Iqcc"
"7092","Srpr"," 4.162690e-01"," 2.9066692790","  2.565718445"," 1.033860e-02"," 1.239965e-02","-4.733456e+00","Srpr"
"7093","Phf21a","-4.162428e-01"," 1.0543693716"," -3.065426326"," 2.190616e-03"," 2.742864e-03","-3.480918e+00","Phf21a"
"7094","Zim1","-4.161744e-01","-0.4131996902"," -5.868468656"," 4.818964e-09"," 2.384853e-08"," 8.622900e+00","Zim1"
"7095","Uprt","-4.161528e-01","-0.3160073484"," -5.231705612"," 1.780825e-07"," 7.081294e-07"," 5.140572e+00","Uprt"
"7096","Zc3h12b","-4.160701e-01","-0.2340628790"," -4.902708129"," 9.893536e-07"," 2.085342e-06"," 3.484852e+00","Zc3h12b"
"7097","Gadd45a"," 4.159369e-01"," 0.6103739977","  3.633498303"," 2.837251e-04"," 3.754535e-04","-1.829672e+00","Gadd45a"
"7098","Lyplal1","-4.159131e-01","-0.2119807642"," -4.827660661"," 1.442141e-06"," 2.624385e-06"," 3.121383e+00","Lyplal1"
"7099","Csf2ra","-4.158504e-01"," 0.1423436993"," -4.175394152"," 3.049105e-05"," 4.351382e-05"," 2.812717e-01","Csf2ra"
"7100","Vegfc","-4.157493e-01","-0.1441687037"," -4.866212325"," 1.189123e-06"," 2.280113e-06"," 3.291642e+00","Vegfc"
"7101","Eif2c1"," 4.156832e-01"," 1.0255970169","  3.176652716"," 1.503153e-03"," 1.901089e-03","-3.236627e+00","Eif2c1"
"7102","Abca9","-4.156416e-01","-0.3682107449"," -5.551565380"," 3.047617e-08"," 1.378398e-07"," 6.835055e+00","Abca9"
