"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"20477","Cep63"," 2.698556e-01"," 0.6905742861"," 1.038806e+00"," 2.989684e-01"," 3.348978e-01"," -7.107907919","Cep63"
"20478","9130401M01Rik","-2.698381e-01"," 0.7877459112","-1.150557e+00"," 2.499952e-01"," 2.837145e-01"," -7.101840987","9130401M01Rik"
"20479","C330019G07Rik","-2.696194e-01"," 1.6272374295","-1.126048e+00"," 2.602245e-01"," 2.942973e-01"," -7.028772411","C330019G07Rik"
"20480","Sf3b3"," 2.696139e-01"," 1.1828084265"," 1.082153e+00"," 2.792610e-01"," 3.144152e-01"," -7.056904246","Sf3b3"
"20481","Tanc1"," 2.695968e-01"," 1.0600023821"," 1.300513e+00"," 1.935131e-01"," 2.232360e-01"," -6.925095811","Tanc1"
"20482","Nkd2","-2.695649e-01","-0.3177151519","-1.865647e+00"," 6.217662e-02"," 7.661485e-02"," -6.171158466","Nkd2"
"20483","Rbm18"," 2.694505e-01"," 1.6536740134"," 9.096818e-01"," 3.630546e-01"," 4.009170e-01"," -7.134237786","Rbm18"
"20484","Msto1","-2.693909e-01"," 0.2704745870","-1.289945e+00"," 1.971571e-01"," 2.271334e-01"," -7.008196832","Msto1"
"20485","Slc4a1ap"," 2.693848e-01"," 0.6090757537"," 1.085157e+00"," 2.779288e-01"," 3.130657e-01"," -7.092902379","Slc4a1ap"
"20486","Nup50","-2.693369e-01"," 0.8121670466","-1.199948e+00"," 2.302427e-01"," 2.626717e-01"," -7.011545102","Nup50"
"20487","Poglut1"," 2.692847e-01"," 1.4465283103"," 1.040288e+00"," 2.982798e-01"," 3.341744e-01"," -7.104300348","Poglut1"
"20488","Cdt1","-2.692135e-01","-0.3061327389","-1.958369e+00"," 5.026812e-02"," 6.265933e-02"," -6.037127336","Cdt1"
"20489","A930013F10Rik","-2.690496e-01"," 0.2870745409","-1.345529e+00"," 1.785439e-01"," 2.070172e-01"," -6.895552107","A930013F10Rik"
"20490","Gins4","-2.689204e-01"," 1.9857879030","-1.062390e+00"," 2.881339e-01"," 3.236741e-01"," -7.097015977","Gins4"
"20491","Rpn2","-2.688954e-01"," 5.1749032791","-6.988671e-01"," 4.846827e-01"," 5.233903e-01"," -6.933171831","Rpn2"
"20492","Pdzd11","-2.687069e-01"," 1.9768393537","-8.288714e-01"," 4.072352e-01"," 4.459225e-01"," -7.084160055","Pdzd11"
"20493","Zfp523","-2.686359e-01"," 0.5961643711","-1.138604e+00"," 2.549485e-01"," 2.889161e-01"," -7.075543393","Zfp523"
"20494","Tdrd7","-2.686255e-01"," 1.1543986131","-1.119093e+00"," 2.631792e-01"," 2.974236e-01"," -7.092006161","Tdrd7"
"20495","Fam65b","-2.685659e-01"," 0.0164625143","-1.551532e+00"," 1.208670e-01"," 1.433266e-01"," -6.622454895","Fam65b"
"20496","Rccd1"," 2.682812e-01","-0.1674305264"," 1.554561e+00"," 1.201435e-01"," 1.425263e-01"," -6.626212718","Rccd1"
"20497","Acvr2a"," 2.682027e-01"," 0.2925823104"," 1.255379e+00"," 2.094271e-01"," 2.401754e-01"," -6.907414141","Acvr2a"
"20498","Wdr45l"," 2.681254e-01"," 1.7652328492"," 9.437793e-01"," 3.453493e-01"," 3.827722e-01"," -7.117239389","Wdr45l"
"20499","AI467606","-2.680245e-01"," 0.1622661055","-1.759320e+00"," 7.861278e-02"," 9.562569e-02"," -6.381227154","AI467606"
"20500","Fut11"," 2.680144e-01"," 0.8283109387"," 1.049212e+00"," 2.941547e-01"," 3.299314e-01"," -7.101960789","Fut11"
"20501","Zc3h7a"," 2.676375e-01"," 1.0012162649"," 1.030693e+00"," 3.027577e-01"," 3.387700e-01"," -7.094073665","Zc3h7a"
"20502","Krt17","-2.676341e-01","-0.1464248839","-1.814679e+00"," 6.966104e-02"," 8.534807e-02"," -6.231472101","Krt17"
"20503","Zbtb46","-2.675615e-01","-0.0281615239","-1.680875e+00"," 9.287874e-02"," 1.119619e-01"," -6.490205195","Zbtb46"
"20504","Rcbtb2","-2.675400e-01"," 0.5161106629","-1.027706e+00"," 3.041612e-01"," 3.402104e-01"," -7.096390656","Rcbtb2"
"20505","Sephs2","-2.675337e-01"," 1.3142676979","-1.098954e+00"," 2.718656e-01"," 3.067225e-01"," -7.083949202","Sephs2"
"20506","Kif3c","-2.673913e-01"," 1.3381716544","-1.270075e+00"," 2.041445e-01"," 2.345765e-01"," -6.963607928","Kif3c"
"20507","Tnfsf9","-2.673358e-01","-0.2051953000","-1.771831e+00"," 7.651188e-02"," 9.325407e-02"," -6.353292238","Tnfsf9"
