"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"21852","Rad17"," 1.191064e-01"," 0.4898437603"," 5.566541e-01"," 5.778003e-01"," 6.151286e-01"," -7.645874912","Rad17"
"21853","Whamm","-1.190381e-01"," 0.2774291888","-6.014937e-01"," 5.475512e-01"," 5.865225e-01"," -7.635193793","Whamm"
"21854","Tlk2","-1.188915e-01"," 1.0161376489","-5.825040e-01"," 5.602657e-01"," 5.985005e-01"," -7.623224485","Tlk2"
"21855","Styx"," 1.187982e-01"," 0.9045210016"," 5.262391e-01"," 5.987563e-01"," 6.349863e-01"," -7.531138573","Styx"
"21856","Alkbh8","-1.187085e-01"," 0.2367633471","-6.257746e-01"," 5.315046e-01"," 5.712663e-01"," -7.654857085","Alkbh8"
"21857","Trim23"," 1.186717e-01"," 0.6030808077"," 5.670599e-01"," 5.707108e-01"," 6.083273e-01"," -7.581068788","Trim23"
"21858","Nr2c2"," 1.186240e-01"," 1.2003337268"," 4.611873e-01"," 6.446936e-01"," 6.790321e-01"," -7.463475871","Nr2c2"
"21859","Gnpnat1","-1.185948e-01"," 0.5195975331","-6.094055e-01"," 5.422963e-01"," 5.816114e-01"," -7.679865548","Gnpnat1"
"21860","Gga1","-1.184865e-01"," 0.8659303822","-5.975154e-01"," 5.502030e-01"," 5.890400e-01"," -7.555088524","Gga1"
"21861","Wdr17","-1.184828e-01","-0.1999428341","-8.928988e-01"," 3.719744e-01"," 4.126338e-01"," -7.578240647","Wdr17"
"21862","Ppil3","-1.184161e-01"," 0.6635396166","-5.205373e-01"," 6.027229e-01"," 6.386149e-01"," -7.621365787","Ppil3"
"21863","Map3k9"," 1.184101e-01","-0.3275762269"," 9.594478e-01"," 3.374012e-01"," 3.771560e-01"," -7.510244710","Map3k9"
"21864","Zfp667","-1.183524e-01","-0.0700200131","-7.851846e-01"," 4.323999e-01"," 4.729916e-01"," -7.658454320","Zfp667"
"21865","Arsa","-1.182737e-01"," 1.5518716968","-4.442099e-01"," 6.569190e-01"," 6.908219e-01"," -7.452042378","Arsa"
